UniProt1	UniProt2	symbol1	symbol2	evidence type
O60337	O60337	MARCH6	MARCH6	exp
O00624	O60337	SLC17A2	MARCH6	exp
O14544	O60341	SOCS6	KDM1A	exp
O15297	O60341	PPM1D	KDM1A	exp
O00716	O60341	E2F3	KDM1A	exp
O14737	O60341	PDCD5	KDM1A	exp
O43482	O60341	OIP5	KDM1A	exp
O60341	O60341	KDM1A	KDM1A	exp
O14974	O60341	PPP1R12A	KDM1A	exp
O15350	O60341	TP73	KDM1A	exp
O43167	O60341	ZBTB24	KDM1A	exp
O00327	O60341	ARNTL	KDM1A	exp
O15379	O60341	HDAC3	KDM1A	exp;pred
O15516	O60341	CLOCK	KDM1A	exp
O43463	O60341	SUV39H1	KDM1A	exp;pred
O00139	O60341	KIF2A	KDM1A	exp
O00233	O60341	PSMD9	KDM1A	exp
O43623	O60341	SNAI2	KDM1A	exp
O43504	O60343	LAMTOR5	TBC1D4	exp
O14786	O60462	NRP1	NRP2	exp;pred
O60462	O60462	NRP2	NRP2	exp
O43463	O60477	SUV39H1	BRINP1	exp
O15379	O60477	HDAC3	BRINP1	exp
O60260	O60488	PRKN	ACSL4	exp
O00483	O60488	NDUFA4	ACSL4	exp
O14964	O60493	HGS	SNX3	exp;pred
O43865	O60493	AHCYL1	SNX3	exp
O43678	O60493	NDUFA2	SNX3	exp
O15400	O60493	STX7	SNX3	exp
O00625	O60493	PIR	SNX3	exp
O15355	O60493	PPM1G	SNX3	exp
O60260	O60506	PRKN	SYNCRIP	exp
O00571	O60506	DDX3X	SYNCRIP	exp
O60245	O60506	PCDH7	SYNCRIP	exp
O00161	O60506	SNAP23	SYNCRIP	exp
O60216	O60506	RAD21	SYNCRIP	exp
O60568	O60568	PLOD3	PLOD3	exp
O14757	O60573	CHEK1	EIF4E2	exp
O60333	O60573	KIF1B	EIF4E2	exp
O00303	O60573	EIF3F	EIF4E2	exp
O14980	O60573	XPO1	EIF4E2	exp
O15372	O60573	EIF3H	EIF4E2	exp
O43896	O60573	KIF1C	EIF4E2	exp
O60307	O60573	MAST3	EIF4E2	exp
O60603	O60603	TLR2	TLR2	exp
O43353	O60603	RIPK2	TLR2	exp;pred
O60610	O60610	DIAPH1	DIAPH1	exp;ortho;pred
O15273	O60662	TCAP	KLHL41	exp
O60662	O60662	KLHL41	KLHL41	exp
O14543	O60674	SOCS3	JAK2	exp;ortho;pred
O15524	O60674	SOCS1	JAK2	exp;ortho;pred
O60674	O60674	JAK2	JAK2	exp;ortho;pred
O14492	O60674	SH2B2	JAK2	exp;pred
O14744	O60674	PRMT5	JAK2	exp;pred
O14867	O60675	BACH1	MAFK	exp;ortho;pred
O15379	O60675	HDAC3	MAFK	exp
O43889	O60675	CREB3	MAFK	exp
O60675	O60675	MAFK	MAFK	exp
O15525	O60675	MAFG	MAFK	exp;pred
O14980	O60678	XPO1	PRMT3	exp
O60701	O60701	UGDH	UGDH	exp;ortho;pred
O60729	O60729	CDC14B	CDC14B	exp
O43683	O60729	BUB1	CDC14B	exp
O43592	O60729	XPOT	CDC14B	exp
O00541	O60729	PES1	CDC14B	exp;pred
O60733	O60733	PLA2G6	PLA2G6	exp
O14737	O60739	PDCD5	EIF1B	exp
O15371	O60739	EIF3D	EIF1B	exp;pred
O43809	O60739	NUDT21	EIF1B	exp
O00264	O60739	PGRMC1	EIF1B	exp
O00303	O60739	EIF3F	EIF1B	exp;pred
O15372	O60739	EIF3H	EIF1B	exp;pred
O14641	O60739	DVL2	EIF1B	exp
O14818	O60739	PSMA7	EIF1B	exp
O60749	O60749	SNX2	SNX2	exp
O14964	O60749	HGS	SNX2	exp;pred
O00764	O60749	PDXK	SNX2	exp
O15027	O60763	SEC16A	USO1	exp
O60763	O60763	USO1	USO1	exp;ortho
O15078	O60763	CEP290	USO1	exp
O60729	O60783	CDC14B	MRPS14	exp
O15355	O60814	PPM1G	HIST1H2BK	exp
O14980	O60841	XPO1	EIF5B	exp;ortho
O43542	O60841	XRCC3	EIF5B	exp
O60858	O60858	TRIM13	TRIM13	exp
O00482	O60869	NR5A2	EDF1	exp
O43257	O60880	ZNHIT1	SH2D1A	exp
